எண் ,குறிப்பு ,சீர் ,சொல் ,பொருள் ,சொல்_மூலம்  1,சொல்_மூலம்  2,சொல்_மூலம்  3
,,கருது ,கருது ,"நினைத்து, எண்ணி",கருது,,
,,பவர் ,பவர் ,,அவர்,,
,,,,,,,
486,,ஊக்க,ஊக்கம் ,மனவெழுச்சி ,ஊக்கம் ,,
,,முடையா ,உடையான் ,உடையவன் ,உடை,,
,,னொடுக்கம் ,ஒடுக்கம் ,அடக்கம் ,ஒடுக்கம் ,,
,0,பொருதகர் ,பொரு ,போர் ,,,
,0,,தகர் ,ஆடுக்கிடாய் ,,,
,0,தாக்கற்குப்,தாக்கற்கு,தாக்குவதற்கு ,,,
,0,பேருந்,பேரும் ,பின்னே கால் வாங்கும் ,,,
,0,தகைத்து ,தகைத்து ,தன்மையை ,,,
,,,,,,,
487,0,பொள்ளென,பொள்,"பொள்ளென – உடனடியாக, தீடீரென?",,,
,,,என,,என,,
,,வாங்கே ,ஆங்கே,,ஆங்கே ,,
,,புறம்வேரார் ,புறம்,,புறம்,,
,0,,வேரார்,,,,
,,காலம்பார்த் ,காலம் ,காலம் ,காலம் ,,
,,,பார்த்து,"பார்தல், எதிர்பார்த்தல் ",பார் ,,
,,துள்வேர்ப்ப,உள்,உள்வேர்ப்பர் - பகைமை உடையார் ,உள்,,
,0,,வேர்ப்பர்,,,,
,0,ரொள்ளி ,ஒள்ளி,அறிவுடையார் ,,,
,,யவர் ,எவர்,,எவர்,,
,,,,,,,
488,0,செறுநரைக் ,செறுநரை ,பகைவர் ,செறுநர்,,
,,காணிற் ,காணிற் ,"கண்டல், காண்பது ",காண் ,,
,0,சுமக்க ,சுமக்க ,பணிக ,,,
,0,புறுவரை ,இறுவரை ,இறுதி நாள் வரை. எப்படி புறுவரை இறுவரை என்றாகும்?,,,
,,காணிற் ,காணிற் ,கண்டல் ,காண் ,,
,0,கிழக்காந்,கிழக்காந்,"கீழ் விழும், தோல்வி",,,
,,தலை ,தலை ,சிறந்தது ,தலை ,,
,,,,,,,
489,,எய்தற்,எய்தற்கு,"எய்துவது - பெறுவது, எய்தற்கு - பெறுவதற்கு, அடைவதற்கு",எய்து,,
,,கரிய ,அரிய,,அரிது,,
,,தியைந்தக்கா,இயைந்த ,கூடிவரும்'காலம் ,இயைந்த ,,
,0,,கால்,கால்/காலம்?,,,
,,லந்நிலையே,அந்,,அந்த,,
,,,நிலையே ,சூழல் ,நிலை,,
,,செய்தற் ,செய்தற்கு,செய்வதற்கு,செய்,,
,,கரிய ,அரிய ,கிடைக்காத ,அரிது,அரிய,
,,செயல் ,செயல் ,செயல் ,செயல் ,,
,,,,,,,
490,,கொக்கொக்க  ,கொக்கு ,கொக்கு பறவை ,கொக்கு ,,
,0,,ஒக்க ,போன்ற ,,,
,0,கூம்பும் ,கூம்பும் ,"அமைதிகாக்கும்?,பொருமை?",,,
,,பருவத்து ,பருவத்து ,"பருவம், காலம், சூழல் ",பருவம் ,,
,,மற்றதன்  ,மற்று,"மற்றவை, மற்றது",மற்ற,,
,,,அதன்,,அது,,
,0,குத்தொக்க,குத்து,"குத்துவது, தாக்குவது?",,,
,0,,ஒக்க ,"போன்ற, போல",,,
,0,சீர்த்த ,சீர்த்த ,,,,
,0,விடத்து ,இடத்து,,,,
