எண் ,குறிப்பு ,சீர் ,சொல் ,பொருள் ,சொல்_மூலம்  1,சொல்_மூலம்  2,சொல்_மூலம்  3
,,றிரியா ,திரியாது ,"வேறுபடாது, நிலைபிறழாது ",திரி,திரிதல்,
,,தடங்கியான் ,அடங்கியான் ,"அடங்கியவன், அடங்கி இருபவர் ",அடங்கு ,,
,,றோற்ற,தோற்றம் ,,தோற்றம் ,,
,,மலையினு ,மலையினும்,மலையைக் காட்டிலும்,மலை,,
,0,மாணப் ,ஆணா ,,,,
,,பெரிது ,பெரிது ,பெரியது ,பெரிய ,,
,,,,,,,
125,,எல்லார்க்கு,எல்லார்க்கு ,எல்லோர்க்கும் ,எல்லாம்,எல்லாரும்,
,,நன்றாம் ,நன்று ,நல்ல ,நன்று ,,
,0,,ஆம் ,,,,
,,பணித,பணிதல் ,பணிவு ,பணி,பணிதல்,
,,லவருள்ளுஞ்,அவர் ,அவர்கள் ,அவர் ,,
,,,உள்ளும் ,அவர்களுள் ,உள்,,
,,செல்வர்க்கே ,செல்வர்க்கே ,செல்வந்தர் ,செல்வர்,செல்வம்,
,,செல்வந்,செல்வம் ,செல்வம்,செல்வம் ,,
,0,தகைத்து ,தகைத்து ,"நிகரானது?,உடையது? போன்றது?",,,
,,,,,,,
126,0,ஒருமையு,ஒருமை ,ஒருபிறப்பின் ,ஒரு ,ஒருமை,
,,,உள் ,,,,
,,ளாமைபோ ,ஆமை ,ஆமை ,ஆமை ,,
,,,போல் ,"போல, போன்று",போல்,,
,,லைந்தடக்க,ஐந்து,ஐந்து,ஐந்து ,,
,,,அடக்கல்,அடக்கம் ,அடக்கம் ,அடக்கு,
,0,லாற்றி,ஆற்றின் ,அற்றுதல்?,,,
,0,னெழுமையு ,எழுமையும் ,ஏழு பிறப்பு ,,,
,0,மேமாப் ,ஏமாப்பு,பாதுகாப்பு ,,,
,,புடைத்து ,உடைத்து ,உடையது ,உடைத்து ,,
,,,,,,,
127,0,யாகாவா ,யா ,"யாவையும், எல்லாவற்றையும், எதையும்",,,
,0,,காவார்,"காக்கமாட்டார், காக்காமல் இருப்பார், காக்காது இருப்பார்",,,
,0,ராயினு ,ஆயினும் ,என்றாலும்,,,
,,நாகாக்க ,நா ,நாக்கு ,நாக்கு ,நா,
,,,காக்க ,"காக்க, காக்கவும்",காக்க ,காத்தல்,
,0,காவாக்காற்,காவாக்காற்,காக்கவில்லையெனில்?,,,
,0,சோகாப்பர் ,சோகாப்பர் ,துன்பப்படுவார் ,,,
,,சொல்லிழுக்குப் ,சொல் ,சொல் ,சொல் ,,
,,,இழுக்கு,"குற்றம், தவறு?",இழுக்கு,,
,,பட்டு ,பட்டு ,பெற்று ,படுதல்,,
,,,,,,,
128,0,ஒன்றானுந்,ஒன்றானும் ,ஒன்று எனினும் ,ஒன்று,,
,,தீச்சொற் ,தீ ,"தீய, கொடிய",தீய,,
,,,சொல் ,சொல் ,சொல் ,,
,,பொருட்பய ,பொருள் ,பொருள் ,பொருள் ,,
,,,பயன் ,பயன் ,பயன் ,,
,,னுண்டாயி ,உண்டு,உண்டாயின் ,உண்டு,,
,0,,ஆயின்,என்றால்,,,
,,னன்றாகா,நன்று ,நல்லது ,நன்று ,,
,,,ஆகாது,"ஆகாது, ஆகாமல், எனப்படாது, இல்லாது",ஆகா,,
,,தாகி ,ஆகி ,ஆகி ,ஆகு,,
,,விடும் ,இடும் ,"விடும், இடும்",இடும் ,,
,,,,,,,
129,,தீயினாற்,தீ ,"தீ, நெருப்பு ",தீ ,,
,0,,இனால்,ஆல்? நெருப்பினால் (இன் + ஆல்) ?,,,
,,சுட்டபு,சுட்ட ,"சுட்ட, சுடப்பட்ட ",சுடு,சூடு,
,,,புண் ,"புண், காயம் ",புண் ,,
,,ணுள்ளாறு,உள்,உள்ளத்தே  ,உள்,,
,,,ஆறும் ,"ஆறும், குணமாகும் ",ஆறும் ,ஆறுவது,
,,மாறாதே ,ஆறாதே ,"ஆறாது, குணாமாகாது",ஆறும் ,ஆறுவது,
,,நாவினாற் ,நாவு,நாக்கு,நாக்கு ,நா,
,0,,இனால்,ஆல்? நாக்கினால் (இன் + ஆல்) ?,,,
,,சுட்ட ,சுட்ட ,"சுட்ட, சுடப்பட்ட ",சுடு,சூடு,
,,வடு ,வடு ,தழும்பு ,வடு ,,
,,,,,,,
130,0,கதங்காத்துக்,கதம் ,சினம் ,,,
,,,காத்து ,அடக்கி ,காத்தல் ,,
,,கற்றடங்க,கற்று ,கல்வியை உடைய ,கற்றல்,கல்,
,,,அடங்கல்,"அடக்கம், அடங்குதல்",அடங்கு ,,
,,லாற்றுவான் ,ஆற்றுவான்,"ஆற்றுதல், செயலாற்றுதல் ?",ஆற்று,,
,0,செவ்வி ,செவ்வி ,தகுந்த காலம் ,,,
,,யறம்பார்க்கு,அறம் ,அறம் ,அறம் ,,
,0,,பார்க்கும் ,,,,
,0,மாற்றி ,ஆற்றின் ,"ஆற்றுதல், செயலாற்றுதல் ?",,,
,,னுழைந்து ,நுழைந்து ,நுழைந்தல்?,நுழை,,
